publisher,genre,sum(global_sales)
Electronic Arts,Sports,482.16
Nintendo,Platformer,425.94
Activision,Shooter,306.84
Nintendo,Role-Playing,292.1
Nintendo,Sports,217.04
Take-Two Interactive,Action,213.71
Nintendo,Misc,179.93
Electronic Arts,Shooter,166.15
Nintendo,Racing,151.3
Electronic Arts,Racing,144.77
Ubisoft,Action,143.75
Activision,Action,140.41
Nintendo,Action,127.84
Nintendo,Puzzle,124.26
Warner Bros. Interactive Entertainment,Action,116.88
Electronic Arts,Action,114.42
Sony Computer Entertainment,Racing,109.96
Sony Computer Entertainment,Platformer,103.78
Konami Digital Entertainment,Sports,98.98
Microsoft Game Studios,Shooter,97.15
Square Enix,Role-Playing,96.9
Ubisoft,Misc,95.8
Sony Computer Entertainment,Action,94.19
Electronic Arts,Simulation,88.77
THQ,Action,88.59
Nintendo,Simulation,85.15
Capcom,Action,85.06
Sony Computer Entertainment,Misc,80.52
Take-Two Interactive,Sports,78.85
Activision,Misc,75.86
Activision,Sports,75.74
THQ,Fighting,72.55
Sega,Sports,71.01
Konami Digital Entertainment,Action,70.72
Nintendo,Shooter,69.46
Ubisoft,Shooter,67.63
Eidos Interactive,Action,65.4
Namco Bandai Games,Fighting,61.1
LucasArts,Action,60.63
Sega,Platformer,60.28
Sony Computer Entertainment,Sports,59.52
Sony Computer Entertainment,Shooter,58.35
Bethesda Softworks,Role-Playing,56.269999999999996
Namco Bandai Games,Role-Playing,54.24
Take-Two Interactive,Shooter,54.12
Nintendo,Fighting,53.08
SquareSoft,Role-Playing,52.59
Disney Interactive Studios,Action,50.87
Microsoft Game Studios,Misc,47.5
Activision,Role-Playing,46.6
Ubisoft,Simulation,44.08
Sony Computer Entertainment,Role-Playing,43.79
THQ,Platformer,40.95
THQ,Racing,39.97
Namco Bandai Games,Action,37.47
Nintendo,Adventure,35.44
Electronic Arts,Role-Playing,35.04
Codemasters,Racing,34.14
Activision,Platformer,33.69
Microsoft Game Studios,Racing,33.63
Capcom,Fighting,32.9
Capcom,Role-Playing,32.57
Enix Corporation,Role-Playing,32.410000000000004
Konami Digital Entertainment,Simulation,32.14
Sega,Action,31.79
Electronic Arts,Fighting,31.29
Namco Bandai Games,Misc,29.38
Tecmo Koei,Action,29.02
Square Enix,Action,28.72
Sony Computer Entertainment,Fighting,28.11
Nintendo,Strategy,27.27
Atari,Action,26.6
Atari,Fighting,25.9
Electronic Arts,Misc,24.61
Disney Interactive Studios,Misc,24.57
Ubisoft,Sports,23.82
THQ,Misc,23.24
Atari,Shooter,22.68
Capcom,Platformer,22.54
Ubisoft,Adventure,22.12
505 Games,Simulation,21.94
Atari,Puzzle,21.58
Sega,Racing,21.31
Take-Two Interactive,Racing,21.23
MTV Games,Misc,20.72
Ubisoft,Platformer,20.59
Microsoft Game Studios,Role-Playing,20.41
Virgin Interactive,Action,20.35
Sega,Misc,20.07
THQ,Adventure,19.84
Namco Bandai Games,Sports,19.04
Konami Digital Entertainment,Misc,18.44
Acclaim Entertainment,Sports,18.07
Midway Games,Sports,17.94
Activision,Strategy,17.54
Disney Interactive Studios,Adventure,17.47
Activision,Racing,17.13
LucasArts,Shooter,16.94
Vivendi Games,Platformer,16.94
Acclaim Entertainment,Fighting,16.81
Ubisoft,Role-Playing,16.58
Midway Games,Fighting,16.46
Sega,Shooter,16.32
Ubisoft,Racing,15.64
THQ,Shooter,14.81
Acclaim Entertainment,Racing,14.72
Konami Digital Entertainment,Platformer,14.69
Sega,Role-Playing,14.63
Microsoft Game Studios,Sports,14.58
Sega,Fighting,14.56
505 Games,Sports,14.42
Electronic Arts,Strategy,14
Konami Digital Entertainment,Role-Playing,13.71
Bethesda Softworks,Shooter,13.6
Sony Computer Entertainment,Adventure,13.59
Warner Bros. Interactive Entertainment,Fighting,13.59
Deep Silver,Action,13.17
THQ,Sports,13.1
Atari,Racing,12.67
Microsoft Game Studios,Action,12.56
Vivendi Games,Action,12.54
Microsoft Game Studios,Simulation,12.45
Atari,Sports,12.44
Namco Bandai Games,Strategy,12.01
Universal Interactive,Platformer,11.95
Vivendi Games,Shooter,11.65
Vivendi Games,Racing,11.26
Capcom,Shooter,11.1
Konami Digital Entertainment,Strategy,10.93
Bethesda Softworks,Action,10.5
Take-Two Interactive,Misc,10.42
Namco Bandai Games,Simulation,10.4
Nippon Ichi Software,Role-Playing,10.2
Banpresto,Strategy,10.18
Atlus,Role-Playing,10.12
Capcom,Adventure,9.85
Namco Bandai Games,Shooter,9.84
D3Publisher,Action,9.78
Disney Interactive Studios,Platformer,9.61
Konami Digital Entertainment,Adventure,9.55
Midway Games,Misc,9.53
Konami Digital Entertainment,Shooter,9.45
THQ,Puzzle,9.15
989 Studios,Sports,8.97
GT Interactive,Action,8.879999999999999
Disney Interactive Studios,Racing,8.870000000000001
RedOctane,Misc,8.68
Sony Computer Entertainment,Simulation,8.65
Ubisoft,Strategy,8.33
Activision,Simulation,8.1
Eidos Interactive,Shooter,8.05
Atari,Role-Playing,8.02
Virgin Interactive,Fighting,7.98
N/A,Misc,7.8100000000000005
THQ,Simulation,7.75
Take-Two Interactive,Strategy,7.6899999999999995
Atari,Platformer,7.45
Take-Two Interactive,Adventure,7.44
Sega,Adventure,7.41
THQ,Strategy,7.36
Midway Games,Action,7.34
Square Enix,Shooter,7.3
Atari,Misc,7.23
ASCII Entertainment,Sports,7.08
Ubisoft,Fighting,7.03
Namco Bandai Games,Racing,6.970000000000001
Sega,Strategy,6.87
GT Interactive,Fighting,6.84
Tecmo Koei,Role-Playing,6.83
Hasbro Interactive,Misc,6.8
Hudson Soft,Puzzle,6.61
Sony Computer Entertainment Europe,Misc,6.5600000000000005
Electronic Arts,Platformer,6.56
Midway Games,Racing,6.56
Unknown,Sports,6.53
Warner Bros. Interactive Entertainment,Puzzle,6.48
Unknown,Misc,6.45
Acclaim Entertainment,Shooter,6.41
3DO,Action,6.28
Ubisoft,Puzzle,6.24
