title,publisher,developer
Professor Layton,Nintendo,Level-5
RollerCoaster Tycoon,Hasbro Interactive,Chris Sawyer Productions
Persona,Atlus,Atlus
SoulCalibur,Namco,Project Soul
Zuma,PopCap Games,Oberon Media
Pokemon Mystery Dungeon,Nintendo,Chunsoft
Metroid,Nintendo,Nintendo
Hitman,Eidos Interactive,IO Interactive
Mario Tennis,Nintendo,Nintendo
Deus Ex,Eidos Interactive,Ion Storm
Mass Effect,Electronic Arts,BioWare
Momotaro Dentetsu,Konami,Hudson Soft
Backyard Sports,Humongous Entertainment,Humongous Entertainment
Barbie,Hi Tech Expressions,Imagineering
Burnout,EA Sports,Criterion Games
Dead Rising,Capcom,Capcom
Famista,Namco,Namco
Gex,BMG Interactive Entertainment,Crystal Dynamics
Just Cause,Eidos Interactive,Avalanche Studios
Microsoft Flight Simulator,Microsoft,Sublogic
SpongeBob SquarePants,THQ,Vicarious Visions
Yu-Gi-Oh!,Konami,Konami
Yakuza,Sega,Sega
Castlevania,Konami,Konami
Teenage Mutant Ninja Turtles,Konami,Konami
Dynasty Warriors,KOEI,Omega Force
Imagine,Ubisoft,Ubisoft
Naruto: Ultimate Ninja Storm,Namco Bandai Games,CyberConnect2
The Lord of the Rings,Melbourne House,Beam Software
Super Robot Wars,Bandai,Banpresto
Frogger,Konami,Konami
Gundam,Bandai,Banpresto
Fable,Microsoft Game Studios,Big Blue Box
Horizon,Sony Interactive Entertainment,Guerrilla Games
Myst,Broderbund,"Cyan, Inc."
Lemmings,Psygnosis,DMA Design
Prince of Persia,Ubisoft,Broderbund
Mario Golf,Nintendo,Nintendo
Mario & Luigi,Nintendo,AlphaDream
Rayman Raving Rabbids,Ubisoft,Ubisoft
SimCity,Maxis,Maxis
Metro,THQ,4a-games
Wario,Nintendo,Nintendo
Simple,Agetec,Bandai Namco Studios
SingStar,Sony Interactive Entertainment,London Studios
Sniper Elite,Rebellion Developments,Rebellion Developments
Spyro,Sony Interactive Entertainment,Insomniac Games
Sniper: Ghost Warrior,City Interactive,CI Games
Stardew Valley,Chucklefish,ConcernedApe
Bomberman,Konami,Hudson Soft
Cooking Mama,Majesco Entertainment,Cooking Mama Limited
Jak and Daxter,Sony Interactive Entertainment,Naughty Dog
Tom Clancy's The Division,Ubisoft,Massive Entertainment
Watch Dogs,Ubisoft,Ubisoft
StarCraft,Blizzard Entertainment,Blizzard Entertainment
Left 4 Dead,Valve,Valve
SOCOM,Sony Interactive Entertainment,Zipper Interactive
Rocket League,Psyonix,Psyonix
Tomodachi,Nintendo,Nintendo
Driver,GT Interactive,Ubisoft Reflections
WarCraft,Blizzard Entertainment,Blizzard Entertainment
Star Fox,Nintendo,Nintendo
Midnight Club,Rockstar Games,Rockstar San Diego
Ace Combat,Namco,Namco
The Room,Fireproof Games,Fireproof Games
Nobunaga's Ambition,KOEI,Koei
Max Payne,Rockstar Games,Remedy Entertainment
Taiko no Tatsujin,Namco,Bandai Namco Studios
Dragon Age,Electronic Arts,BioWare
SaGa,Square Enix,Square
Age of Empires,Microsoft,Ensemble Studios
Wii Party,Nintendo,NDcube
Broken Sword,Virgin Interactive,Revolution Software
Buzz!,Sony Interactive Entertainment,Relentless Software
Ratchet & Clank,Sony Interactive Entertainment,Insomniac Games
Big Brain Academy,Nintendo,Nintendo
Dance Dance Revolution,Konami,Konami
Command & Conquer,Electronic Arts,Westwood Studios
Dying Light,Techland,Techland
James Bond,Parker Bros.,Richard Shepherd Software
Killing Floor,Tripwire Interactive,Tripwire Interactive
Marvel vs. Capcom,Capcom,Capcom
Mario & Sonic at the Olympic Games,Sega,Sega
Wii Play,Nintendo,Nintendo
MX vs. ATV,THQ Nordic,Rainbow Studios
Nintendogs,Nintendo,Nintendo
Splatoon,Nintendo,Nintendo
Pitfall,Activision,Activision
Naruto: Ultimate Ninja,Bandai Namco Entertainment,CyberConnect2
Devil May Cry,Capcom,Capcom
Farming Simulator,Astragon,Giants Software
Tales of,Namco,Bandai Namco Studios
Yoshi,Nintendo,Nintendo
Portal,Valve,Valve
Rayman,Ubisoft,Ubisoft
Tetris,The Tetris Company,Alexey Pajitnov
Puyo Puyo,Sega,Compile
Tiger Woods PGA Tour,EA Sports,EA Redwood Shores
Pokemon,Nintendo,Game Freak
Call of Duty,Activision,Infinity Ward
Batman: Arkham,Warner Bros. Interactive Entertainment,Rocksteady Studios
Jikkyo Powerful Pro Yakyu,Konami,Konami
Super Mario,Nintendo,Nintendo
Petz,PF.Magic,PF Magic
Grand Theft Auto,Rockstar Games,Rockstar North
FIFA,EA Sports,Extended Play Productions (1991-1997)
Minecraft,Mojang,Mojang
Lego,Warner Bros. Interactive Entertainment,TT Fusion
Assassin's Creed,Ubisoft,Ubisoft
The Sims,Electronic Arts,Maxis
Mario Kart,Nintendo,Nintendo
Final Fantasy,Square,Square
Luigi's Mansion,Nintendo,Nintendo
Need for Speed,Electronic Arts,EA Black Box
Tomb Raider,Eidos Interactive,Core Design
Resident Evil,Capcom,Capcom
Madden NFL,Electronic Arts,Park Place Productions
NBA 2K,2K Games,Visual Concepts
The Legend of Zelda,Nintendo,Nintendo
Wii/Nintendo Sports,Nintendo,Nintendo
Pro Evolution Soccer/eFootball,Konami,Konami
Sonic the Hedgehog,Sega,Sonic Team
Monster Hunter,Capcom,Capcom
Gran Turismo,Sony Interactive Entertainment,Polyphony Digital
Dragon Quest,Square,ArtePiazza
Halo,Microsoft Game Studios,Bungie
Battlefield,Electronic Arts,EA DICE
Borderlands,2K Games,Gearbox Software
Animal Crossing,Nintendo,Nintendo
PUBG,PUBG Corporation,PUBG Corporation
Worms,Team17,Team17
Mortal Kombat,Warner Bros. Interactive Entertainment,Avalanche Software
Super Smash Bros.,Nintendo,Nintendo
Mario Party,Nintendo,Hudson Soft
Just Dance,Ubisoft,Ubisoft
Red Dead,Rockstar Games,Rockstar San Diego
WWE 2K,2K Games,Visual Concepts
Dragon Ball,Bandai,Tose
God of War,Sony Interactive Entertainment,SIE Santa Monica Studio
Civilization,Microprose,Firaxis Games
Counter-Strike,Valve,Valve
Donkey Kong,Nintendo,Nintendo
The Oregon Trail,MECC,MECC
The Witcher,CD Projekt,CD Projekt Red Studio
Metal Gear,Konami,Konami
The Elder Scrolls,Bethesda Softworks,Bethesda Softworks
Diablo,Blizzard Entertainment,Blizzard North
Lego Batman,Warner Bros. Interactive Entertainment,TT Fusion
Everybody's Golf,Sony Interactive Entertainment,Camelot Software
Dead Island,Deep Silver,Techland
Mafia,2K Games,Illusion Softworks
Yo-kai Watch,Nintendo,Level 5
Fire Emblem,Nintendo,Intelligent Systems
Guild Wars,NCSoft,ArenaNet
Dragon Ball Xenoverse,Bandai Namco Games,Dimps Corporation
Paper Mario,Nintendo,Intelligent Systems
Rock Band,MTV Games,Harmonix
ARMA,505 Games,Bohemia Interactive
Scribblenauts,Warner Bros. Interactive Entertainment,5th Cell
Tekken,Namco,Bandai Namco Studios
Lego Star Wars,Warner Bros. Interactive Entertainment,TT Fusion
Far Cry,Ubisoft,Ubisoft
The Walking Dead: Telltale Games Series,Telltale Games,Telltale Games
Bejeweled,PopCap Games,PopCap Games
Crash Bandicoot,Sony Interactive Entertainment,Naughty Dog
Warriors,KOEI,Omega Force
Street Fighter,Capcom,Capcom
Kirby,Nintendo,HAL Laboratory
Fallout,Bethesda Softworks,Interplay Entertainment
Terraria,505 Games,Re-Logic
Uncharted,Sony Interactive Entertainment,Naughty Dog
Wii Fit,Nintendo,Nintendo
Star Wars: Battlefront,LucasArts,Pandemic Studios
Harry Potter,Electronic Arts,Griptonite Games
Total War,Sega,Creative Assembly
BioShock,2K Games,Irrational Games
Gears of War,Microsoft Game Studios,Epic Games
Spider-Man,Parker Brothers,Parker Brothers
World of WarCraft,Blizzard Entertainment,Blizzard Entertainment
Guitar Hero,Activision,Harmonix
Medal of Honor,Electronic Arts,"2015, Inc."
Mega Man,Capcom,Capcom
The Last of Us,Sony Interactive Entertainment,Naughty Dog
Kingdom Hearts,Square Enix,Square
Tom Clancy's Rainbow Six,Ubisoft,Ubisoft
Souls,Bandai Namco Entertainment,From Software
Brain Age,Nintendo,Nintendo
NBA Live,EA Sports,EA Canada
Tom Clancy's Ghost Recon,Ubisoft,Red Storm Entertainment
Dark Souls,Bandai Namco Entertainment,From Software
Football Manager,Sega,Sports Interactive
Half-life,Valve,Valve
Marvel's Spider-Man,Sony Interactive Entertainment,Insomniac Games
Saints Row,THQ,Volition
Tony Hawk's,Activision,Neversoft
Tom Clancy's Splinter Cell,Ubisoft,Ubisoft
Xeno,Square,Square
Megami Tensei,Atlus,Atlus
Monument Valley,Ustwo Games,Ustwo Games
Onimusha,Capcom,Capcom
The Settlers,Blue Byte,Blue Byte
Cuphead,Studio MDHR,Studio MDHR
Inazuma Eleven,Level 5,Level 5
Kinect Sports,Microsoft Game Studios,Rare
Moto Racer,Electronic Arts,SK Software International
The Binding of Isaac,Edmund McMillen,Edmund McMillen
Ace Attorney,Capcom,Capcom
Dead or Alive,Tecmo,Team Ninja
Romance of the Three Kingdoms,KOEI,Koei
Samurai Warriors,KOEI,Omega Force
Unreal,GT Interactive,Epic Games
Carnival Games,Global Star Software,Cat Daddy Games
NieR,Square Enix,Cavia
Payday,Daybreak Games,Overkill Software
Silent Hill,Konami,Konami Computer Entertainment Tokyo
The Experience,Ubisoft,Ubisoft
Ninja Gaiden,Tecmo,Tecmo
Magicka,Paradox Interactive,Arrowhead Game Studios
Jurassic Park,Ocean Software,Ocean Software
Crysis,Electronic Arts,Crytek
Baldur's Gate,Interplay Entertainment Corp.,BioWare
Trine,Nobilis,Frozenbyte
Ark,Studio Wildcard,Studio Wildcard
Oddworld,GT Interactive,Oddworld Inhabitants
Dragon's Dogma,Capcom,Capcom
WarioWare,Nintendo,Nintendo
DiRT,Codemasters,Codemasters
King's Quest,Sierra Online,On-Line Systems
Mana,Square,Square
Nioh,Koei Tecmo,Team Ninja
Project Gotham Racing,Sega,Bizarre Creations
Rugrats,THQ,Realtime Associates
The Legend of Heroes: Trails,Xseed Games,Falcom
"Warhammer 40,000: Dawn of War",THQ,Relic Entertainment
Clubhouse Games,Nintendo,"Agenda, C.A. Production, NDcube"
Star Wars: Knights of the Old Republic,LucasArts,BioWare
Mario Strikers,Nintendo,Next Level Games
Ben 10,D3 Publisher,High Voltage Software
Lost Planet,Capcom,Capcom
