bigram,n,total_sentiment
pretty bad,2974,negative
breaking bugs,2073,negative
crash crash,1793,negative
pretty boring,1726,negative
die hard,1282,negative
blah blah,1151,negative
breaking bug,958,negative
buggy mess,925,negative
incredibly boring,796,negative
grind grind,782,negative
bad bad,712,negative
drag drag,708,negative
crap crap,643,negative
bugs bugs,637,negative
boring repetitive,617,negative
fatal error,601,negative
pretty damn,600,negative
bugs glitches,588,negative
incredibly frustrating,563,negative
cancer cancer,559,negative
pretty terrible,553,negative
painfully slow,544,negative
pretty hard,525,negative
plot twist,505,negative
boring boring,501,negative
crashes crashes,495,negative
terrible terrible,488,negative
kill enemies,486,negative
bored bored,473,negative
lag issues,468,negative
scam scam,453,negative
hard difficulty,443,negative
broken mess,427,negative
pretty poor,427,negative
dirt cheap,404,negative
pretty lame,395,negative
incredibly slow,394,negative
cheat cheat,387,negative
holy crap,386,negative
pretty awful,375,negative
annoying bugs,361,negative
pretty bland,360,negative
pretty annoying,358,negative
super boring,357,negative
killing enemies,354,negative
poor excuse,341,negative
easy difficulty,339,negative
horrible horrible,331,negative
damn shame,316,negative
worst enemy,315,negative
incredibly annoying,314,negative
plot twists,312,negative
enemy attacks,310,negative
super slow,307,negative
pretty disappointed,305,negative
incredibly hard,303,negative
pretty dull,303,negative
sorely disappointed,302,negative
super cheap,299,negative
bugs crashes,295,negative
incredibly difficult,295,negative
lag lag,291,negative
easiest difficulty,286,negative
super hard,284,negative
pretty weak,282,negative
bad joke,277,negative
pure garbage,276,negative
pretty funny,273,negative
pros cons,273,negative
repetitive boring,272,negative
fails miserably,265,negative
crashes randomly,253,negative
shit shit,251,negative
super annoying,250,negative
breaking glitches,247,negative
cons bad,246,negative
pretty mediocre,244,negative
stability issues,241,negative
laughably bad,238,negative
awful awful,232,negative
utterly broken,232,negative
incredibly bad,230,negative
incredibly repetitive,230,negative
pretty disappointing,230,negative
pretty useless,230,negative
pretty stupid,229,negative
misses dies,225,negative
randomly crashes,223,negative
severe lack,223,negative
slow boring,223,negative
pretty repetitive,222,negative
utterly useless,218,negative
clunky unresponsive,216,negative
fatal flaw,214,negative
ridiculously hard,214,negative
bother wasting,213,negative
fall damage,213,negative
incredibly buggy,211,negative
failed miserably,206,negative
pretty sad,206,negative
incredibly stupid,205,negative
boring grind,200,negative
super laggy,200,negative
damn hard,199,negative
super buggy,199,negative
incredibly dull,197,negative
hot mess,193,negative
incredibly tedious,189,negative
cons terrible,187,negative
crashing issues,186,negative
utterly boring,185,negative
pretty buggy,182,negative
latency issues,180,negative
utterly pointless,179,negative
breaking glitch,177,negative
holy hell,177,negative
instantly kill,177,negative
pretty dumb,177,negative
glitches bugs,176,negative
boring enemies,173,negative
super repetitive,171,negative
fun cons,170,negative
pretty cheap,168,negative
pathetic excuse,167,negative
fairly boring,166,negative
bland boring,165,negative
insanely hard,165,negative
cons horrible,163,negative
cons poor,158,negative
terribly boring,157,negative
pretty frustrating,156,negative
error error,155,negative
fair warning,155,negative
pretty shallow,155,negative
breaking issues,153,negative
cons boring,153,negative
pretty limited,150,negative
pretty pointless,148,negative
super bad,148,negative
horrible lag,145,negative
hot garbage,145,negative
boring slow,143,negative
slow clunky,142,negative
unfinished mess,142,negative
die die,139,negative
insanely difficult,139,negative
pretty horrible,138,negative
worst offender,138,negative
pretty difficult,137,negative
damn boring,136,negative
pretty crappy,136,negative
sorely lacking,136,negative
buggy laggy,134,negative
free cons,133,negative
frustratingly difficult,133,negative
pretty slow,133,negative
bugs bad,132,negative
sad excuse,132,negative
crash issues,131,negative
frustrating mess,129,negative
kill kill,129,negative
randomly crash,129,negative
cons repetitive,128,negative
stupid stupid,128,negative
worth wasting,127,negative
insane difficulty,125,negative
pretty broken,125,negative
shockingly bad,125,negative
super frustrating,124,negative
unknown error,124,negative
enemies attack,123,negative
dull boring,122,negative
incredibly poor,122,negative
zombie killing,121,negative
pretty dead,120,negative
