appid,name,release_date,developer,publisher,free_to_play,virtual_reality_support,controller_support,steam_workshop,singleplayer,multiplayer,is_open_world,is_rogue_like,is_metroidvania,is_visual_novel,has_great_soundtrack,is_shooter,is_rpg,has_female_protagonist,is_sports,windows_support,mac_support,linux_support,required_age,categories,genres,steamspy_tags,achievements,general_rating,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews
271590,Grand Theft Auto V,2015-04-13,Rockstar North,Rockstar Games,FALSE,FALSE,Full,FALSE,TRUE,Multiplayer (Unspecified),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,Single-player;Multi-player;Steam Achievements;Full controller support,Action;Adventure,Open World;Action;Multiplayer,77,Mostly Positive,329061,139308,9837,4834,10M to 20M,24.99,468369
72850,The Elder Scrolls V: Skyrim,2011-11-10,Bethesda Game Studios,Bethesda Softworks,FALSE,FALSE,No,TRUE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,16,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud,RPG,Open World;RPG;Fantasy,75,Positive,237303,14951,7089,3885,10M to 20M,9.99,252254
346110,ARK: Survival Evolved,2017-08-27,Studio Wildcard;Instinct Games;Efecto Studios;Virtual Basement LLC,Studio Wildcard,FALSE,FALSE,Full,TRUE,TRUE,Online only,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,Single-player;Multi-player;MMO;Co-op;Steam Achievements;Full controller support;VR Support;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Action;Adventure;Indie;Massively Multiplayer;RPG,Survival;Open World;Multiplayer,32,Mostly Positive,145035,66603,14154,1470,5M to 10M,44.99,211638
292030,The Witcher® 3: Wild Hunt,2015-05-18,CD PROJEKT RED,CD PROJEKT RED,FALSE,FALSE,Full,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG,Open World;RPG;Story Rich,78,Extremely Positive,202930,4798,3068,2002,5M to 10M,24.99,207728
221100,DayZ,2018-12-13,Bohemia Interactive,Bohemia Interactive,FALSE,FALSE,No,TRUE,FALSE,Online only,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,Multi-player;Online Multi-Player;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled,Action;Adventure;Massively Multiplayer,Survival;Zombies;Open World,0,Mostly Positive,118435,77169,7235,2798,2M to 5M,33.99,195604
227300,Euro Truck Simulator 2,2012-10-12,SCS Software,SCS Software,FALSE,FALSE,No,TRUE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Indie;Simulation,Simulation;Driving;Open World,67,Extremely Positive,176769,5825,4942,1413,5M to 10M,14.99,182594
377160,Fallout 4,2015-11-09,Bethesda Game Studios,Bethesda Softworks,FALSE,FALSE,Full,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,Single-player;Steam Achievements;Full controller support;Steam Cloud,RPG,Open World;Post-apocalyptic;Exploration,84,Mostly Positive,110376,45377,4822,2904,5M to 10M,19.99,155753
275850,No Man's Sky,2016-08-12,Hello Games,Hello Games,FALSE,FALSE,Full,FALSE,TRUE,Online + Co-op,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Open World;Space;Exploration,27,Mixed,63444,56488,2004,1222,1M to 2M,39.99,119932
242760,The Forest,2018-04-30,Endnight Games Ltd,Endnight Games Ltd,FALSE,FALSE,No,FALSE,TRUE,Co-op multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,Single-player;Multi-player;Co-op;Partial Controller Support;Steam Cloud,Action;Adventure;Indie;Simulation,Survival;Open World;Horror,45,Positive,110460,8881,2417,1127,2M to 5M,15.49,119341
264710,Subnautica,2018-01-23,Unknown Worlds Entertainment,Unknown Worlds Entertainment,FALSE,FALSE,Full,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support,Adventure;Indie,Survival;Open World;Exploration,17,Positive,90155,5413,1446,937,2M to 5M,19.49,95568
