appid,name,release_date,release_year,year_range,developer,publisher,free_to_play,virtual_reality_support,singleplayer,multiplayer,windows_support,mac_support,linux_support,required_age,categories,steamspy_tags,achievements,general_rating,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews,genres,value
730,Counter-Strike: Global Offensive,2012-08-21,2012,2012 - 2015,Valve;Hidden Path Entertainment,Valve,TRUE,FALSE,FALSE,Multiplayer (Unspecified),TRUE,TRUE,TRUE,0,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,FPS;Multiplayer;Shooter,167,Positive,2644404,402313,22494,6502,50M to 100M,0,3046717,Genre1,Action
730,Counter-Strike: Global Offensive,2012-08-21,2012,2012 - 2015,Valve;Hidden Path Entertainment,Valve,TRUE,FALSE,FALSE,Multiplayer (Unspecified),TRUE,TRUE,TRUE,0,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,FPS;Multiplayer;Shooter,167,Positive,2644404,402313,22494,6502,50M to 100M,0,3046717,Genre2,Free to Play
570,Dota 2,2013-07-09,2013,2012 - 2015,Valve,Valve,TRUE,FALSE,FALSE,Co-op multiplayer,TRUE,TRUE,TRUE,0,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Free to Play;MOBA;Strategy,0,Positive,863507,142079,23944,801,100M to 200M,0,1005586,Genre1,Action
570,Dota 2,2013-07-09,2013,2012 - 2015,Valve,Valve,TRUE,FALSE,FALSE,Co-op multiplayer,TRUE,TRUE,TRUE,0,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Free to Play;MOBA;Strategy,0,Positive,863507,142079,23944,801,100M to 200M,0,1005586,Genre2,Free to Play
570,Dota 2,2013-07-09,2013,2012 - 2015,Valve,Valve,TRUE,FALSE,FALSE,Co-op multiplayer,TRUE,TRUE,TRUE,0,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Free to Play;MOBA;Strategy,0,Positive,863507,142079,23944,801,100M to 200M,0,1005586,Genre3,Strategy
440,Team Fortress 2,2007-10-10,2007,2005 - 2008,Valve,Valve,TRUE,FALSE,FALSE,Multiplayer (Unspecified),TRUE,TRUE,TRUE,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Free to Play;Multiplayer;FPS,520,Positive,515879,34036,8495,623,20M to 50M,0,549915,Genre1,Action
440,Team Fortress 2,2007-10-10,2007,2005 - 2008,Valve,Valve,TRUE,FALSE,FALSE,Multiplayer (Unspecified),TRUE,TRUE,TRUE,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Free to Play;Multiplayer;FPS,520,Positive,515879,34036,8495,623,20M to 50M,0,549915,Genre2,Free to Play
4000,Garry's Mod,2006-11-29,2006,2005 - 2008,Facepunch Studios,Valve,FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Sandbox;Multiplayer;Funny,29,Extremely Positive,363721,16433,12422,1875,10M to 20M,6.99,380154,Genre1,Indie
4000,Garry's Mod,2006-11-29,2006,2005 - 2008,Facepunch Studios,Valve,FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Sandbox;Multiplayer;Funny,29,Extremely Positive,363721,16433,12422,1875,10M to 20M,6.99,380154,Genre2,Simulation
218620,PAYDAY 2,2013-08-13,2013,2012 - 2015,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,FALSE,TRUE,18,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases,Co-op;Action;FPS,1130,Positive,308657,56523,3975,890,10M to 20M,7.49,365180,Genre1,Action
